min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
200	310536	212596	23169	57750	17021	299184	210217	7784	2173	3568	206
199	311807	212932	23372	58288	17215	300359	210550	7840	2175	3608	207
198	313070	213285	23563	58771	17451	301494	210894	7908	2184	3668	207
197	314372	213630	23742	59346	17654	302706	211236	7962	2187	3704	207
196	315730	214046	23928	59859	17897	303941	211643	8035	2196	3754	207
195	317051	214387	24117	60428	18119	305132	211980	8101	2200	3818	207
194	318413	214700	24335	61026	18352	306367	212290	8176	2203	3870	207
193	319728	215050	24519	61554	18605	307559	212637	8245	2206	3924	207
192	321158	215431	24722	62157	18848	308863	213009	8319	2215	3976	207
191	322567	215788	24923	62751	19105	310123	213360	8400	2220	4044	208
190	323971	216181	25120	63325	19345	311397	213746	8467	2225	4107	210
189	325344	216546	25331	63876	19591	312636	214107	8554	2229	4154	210
188	326680	216900	25541	64407	19832	313847	214456	8630	2234	4203	210
187	328072	217236	25747	64978	20111	315085	214783	8722	2243	4265	210
186	329546	217607	25975	65590	20374	316413	215148	8805	2248	4328	211
185	331008	217956	26182	66203	20667	317717	215485	8914	2260	4377	211
184	332513	218335	26407	66837	20934	319085	215858	8980	2266	4448	211
183	333987	218698	26635	67448	21206	320425	216217	9058	2270	4504	211
182	335508	219092	26846	68064	21506	321784	216602	9154	2278	4570	212
181	337076	219482	27074	68720	21800	323192	216987	9242	2283	4642	212
180	338629	219844	27299	69405	22081	324590	217339	9324	2293	4715	212
179	340134	220203	27517	70058	22356	325941	217691	9415	2299	4778	213
178	341732	220574	27762	70728	22668	327382	218059	9498	2302	4852	213
177	343318	220968	28004	71374	22972	328817	218448	9591	2307	4910	213
176	344885	221315	28243	72067	23260	330243	218791	9671	2311	4971	213
175	346470	221681	28469	72766	23554	331653	219155	9771	2313	5046	213
174	348066	222048	28702	73440	23876	333076	219516	9869	2318	5121	214
173	349719	222434	28964	74099	24222	334558	219898	9953	2322	5208	214
172	351307	222797	29196	74789	24525	336007	220261	10032	2322	5268	214
